Name,HDFC_ID,Category
SUBROS LIMITED,803,A
GENERAL MILLS INDIA PRIVATE LIMITED.,809,A
GLENMARK PHARMACEUTICALS LIMITED,820,A
SUN TV NETWORK LIMITED,828,A
ESSEL MINING AND INDUSTRIES LTD.,600,A
EVEREST INDUSTRIES LIMITED,616,A
ARYA IRON AND STEEL COMPANY PRIVATE LIMITED,3970,A
ASHOK GRANITES LIMITED,3979,A
PEOPLE COMBINE AVENUES LIMITED,2756,A
WALLACE PHARMACEUTICALS PRIVATE LIMITED,2770,A
WATSON PHARMA PRIVATE LIMITED,2771,A
GLAXOSMITHKLINE ASIA PRIVATE LIMITED,1729,A
GLOBAL E BUSINESS OPERATIONS PRIVATE LIMITED,1733,A
JPMORGAN ASSET MANAGEMENT INDIA PRIVATE LIMITED,1740,A
ABP PRIVATE LIMITED,1753,A
ADDISON  AND CO  LIMITED,1757,A
LIFESTAR PHARMA PRIVATE LIMITED,1792,A
ALBERT DAVID LTD,1804,A
ALCON LABORATORIES INDIA PRIVATE LIMITED,1805,A
EXCEL INDUSTRIES LIMITED,621,A
FORBES MARSHALL PRIVATE LIMITED,808,A
FORTIS HEALTHCARE LIMITED,823,A
FOSECO INDIA LIMITED,831,A
MERCER CONSULTING INDIA PRIVATE LIMITED,2009,A
METRO CASH AND CARRY INDIA PRIVATE LIMITED,2015,A
METROPOLIS HEALTHCARE LIMITED,2019,A
MEYER ORGANICS PRIVATE LIMITED,2027,A
MORGAN STANLEY INDIA PRIMARY DEALER PRIVATE LIMITED,2048,A
BMC SOFTWARE INDIA PRIVATE LIMITED,2014,A
BOMBAY INTELLIGENCE SECURITY INDIA LIMITED,2018,A
BUNGE INDIA PRIVATE LIMITED,2029,A
C.P.AQUACULTURE INDIA PRIVATE LIMITED,2033,A
CADILA PHARMACEUTICALS LIMITED,2034,A
MSOURCE INDIA PRIVATE LIMITED,2057,A
MULTI COMMODITY EXCHANGE OF INDIA LIMITED,2058,A
MUSIGMA BUSINESS SOLUTIONS PRIVATE LIMITED,2061,A
NAPINO AUTO AND ELECTRONICS LIMITED,2064,A
ANZ OPERATIONS AND TECHNOLOGY PRIVATE LIMITED CN,2705,A
ASIAN GRANITO INDIA LIMITED,2753,A
KIRLOSKAR INTEGRATED TECHNOLOGIES PRIVATE LIMITED,2554,A
KIRLOSKAR PNEUMATIC COMPANY LIMITED,2558,A
ALLENGERS MEDICAL SYSTEMS LIMITED,1807,A
AMADEUS INDIA PRIVATE LIMITED,1814,A
AMAZON DEVELOPMENT CENTRE INDIA PRIVATE LIMITED,1825,A
AMD INDIA PRIVATE LIMITED,1847,A
GODREJ INFOTECH LIMITED,841,A
SUNFLAG IRON AND STEEL CO LTD,844,A
GOKALDAS EXPORTS LIMITED,847,A
GOODYEAR INDIA LIMITED,850,A
GOOGLE INDIA PRIVATE LIMITED,852,A
SUPREME PETROCHEM LIMITED,853,A
SURYA ROSHNI LIMITED,858,A
SUTLEJ TEXTILES AND INDUSTRIES LIMITED,860,A
GRINDWELL NORTON LIMITED,875,A
TATA AUTOCOMP SYSTEMS LIMITED,887,A
GUJARAT AMBUJA EXPORTS LIMITED,890,A
TATA HOUSING DEVELOPMENT COMPANY LIMITED,902,A
TATA METALIKS LTD,909,A
GUJARAT INDUSTRIES POWER COMPANY LTD.,911,A
INGRAM MICRO INDIA PRIVATE LIMITED,1015,A
ISMT LIMITED,1027,A
UFLEX LIMITED,1053,A
TOYOTA KIRLOSKAR AUTO PARTS PVT LTD,1016,A
TOYOTA KIRLOSKAR MOTOR PVT LTD,1020,A
TRIVENI ENGINEERING AND INDUSTRIES LIMITED,1045,A
MAX LIFE INSURANCE COMPANY LIMITED,92,A
MCAFEE SOFTWARE INDIA PRIVATE LIMITED,95,A
MERCK SPECIALITIES PRIVATE LIMITED,117,A
KONE ELEVATOR INDIA PRIVATE LIMITED,2578,A
KOTHARI PRODUCTS LIMITED,2596,A
KSE LIMITED,2608,A
KUEHNE + NAGEL PRIVATE LIMITED,2611,A
L AND T CHIYODA LIMITED,2652,A
ANDREW TELECOMMUNICATIONS INDIA PRIVATE LIMITED,1862,A
APOTEX PHARMACHEM INDIA PRIVATE LIMITED,1887,A
ANTIQUE STOCK BROKING LIMITED,1883,A
LAURUS LABS LIMITED,1890,A
ARCOT R AND D SOFTWARE PRIVATE LIMITED,1891,A
ARCTERN CONSULTING PRIVATE LIMITED,1892,A
ARTECH INFOSYSTEMS PRIVATE LIMITED,1895,A
MANIPAL HEALTH ENTERPRISES PRIVATE LIMITED,1912,A
MANKIND PHARMA LIMITED,1915,A
MARATHON ELECTRIC MOTORS INDIA LIMITED,1925,A
HARDCASTLE RESTAURANTS PRIVATE LIMITED,1928,A
HATSUN AGRO PRODUCT LIMITED,923,A
FUNSKOOL INDIA LTD,1041,A
TATA TELESERVICES LIMITED,926,A
TATA CONSULTING ENGINEERS LIMITED,928,A
HEG LIMITED,933,A
HIKAL LIMITED,947,A
HIMATSINGKA SEIDE LIMITED,948,A
